,film_id,avg_rental_cost,avg_hours_rented,avg_hours_rental_allowed,category_id,language_id,hours_length,avg_replacement_cost,rating,description,special_features,actors_in_film,actor_list,total_actor_fame,total_actor_influence,num_rent
0,1,1.598696,119.4545,144.0,6,1,1.4333,20.99,PG,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,"set([u'Deleted Scenes', u'Behind the Scenes'])",10,"1,10,20,30,40,53,108,162,188,198",278.0,1108.0,23
1,2,7.561429,135.1667,72.0,11,1,0.8,12.99,G,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,"set([u'Trailers', u'Deleted Scenes'])",4,"19,85,90,160",109.0,398.0,7
2,3,3.156667,82.75,168.0,6,1,0.8333,18.99,NC-17,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,"set([u'Trailers', u'Deleted Scenes'])",5,"2,19,24,64,123",136.0,541.0,12
3,4,3.99,113.6364,120.0,11,1,1.95,26.99,G,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,"set([u'Behind the Scenes', u'Commentaries'])",5,"41,81,88,147,162",141.0,543.0,23
4,5,4.323333,170.0,144.0,8,1,2.1667,22.99,G,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,set([u'Deleted Scenes']),5,"51,59,103,181,200",141.0,492.0,12
5,6,6.037619,140.6667,72.0,9,1,2.8167,17.99,PG,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,set([u'Deleted Scenes']),7,"21,23,62,108,137,169,197",216.0,798.0,21
6,7,5.523333,109.4667,144.0,5,1,1.0333,28.99,PG-13,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,"set([u'Trailers', u'Deleted Scenes'])",5,"99,133,162,170,185",135.0,554.0,15
7,8,5.712222,120.8889,144.0,11,1,0.9,15.99,R,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,set([u'Trailers']),4,"55,96,110,138",88.0,372.0,18
8,9,5.99,133.4167,72.0,11,1,1.9,21.99,PG-13,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,"set([u'Trailers', u'Deleted Scenes'])",9,"10,22,26,53,68,108,130,175,194",251.0,992.0,12
9,10,5.72913,114.5652,144.0,15,1,1.05,24.99,NC-17,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,"set([u'Trailers', u'Deleted Scenes'])",8,"29,35,37,64,117,142,157,188",235.0,887.0,23
10,11,1.49,119.875,144.0,9,1,2.1,16.99,G,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,"set([u'Behind the Scenes', u'Commentaries'])",4,"40,81,90,174",122.0,458.0,24
11,12,1.720769,126.6154,144.0,12,1,2.2667,22.99,PG,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,"set([u'Deleted Scenes', u'Commentaries'])",7,"37,75,105,109,146,177,180",200.0,790.0,26
12,13,6.101111,110.625,96.0,11,1,2.5,21.99,PG,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,"set([u'Deleted Scenes', u'Behind the Scenes'])",5,"77,91,94,114,176",131.0,500.0,9
13,15,4.126364,116.0909,120.0,9,1,0.7667,10.99,NC-17,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,"set([u'Trailers', u'Behind the Scenes', u'Commentaries'])",6,"36,69,105,117,164,170",167.0,649.0,22
14,16,3.775714,131.7857,144.0,9,1,3.0,23.99,NC-17,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,"set([u'Trailers', u'Commentaries'])",5,"12,57,146,191,192",153.0,554.0,14
15,17,3.49,128.8235,72.0,12,1,1.3667,14.99,R,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,"set([u'Trailers', u'Behind the Scenes'])",8,"3,12,13,82,100,160,167,187",222.0,845.0,18
16,18,1.49,110.6364,144.0,2,1,0.95,27.99,PG-13,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,"set([u'Trailers', u'Behind the Scenes'])",4,"45,142,144,162",123.0,455.0,22
17,19,1.609048,117.7,144.0,1,1,1.8833,20.99,PG,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,"set([u'Deleted Scenes', u'Behind the Scenes', u'Commentaries'])",6,"5,27,37,43,84,104",185.0,700.0,21
18,20,6.79,116.5,96.0,12,1,1.3167,23.99,R,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,"set([u'Deleted Scenes', u'Behind the Scenes', u'Commentaries'])",6,"52,102,136,139,155,159",189.0,704.0,10
19,21,7.626364,129.5714,72.0,1,1,2.15,17.99,R,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,"set([u'Behind the Scenes', u'Commentaries'])",5,"25,26,105,119,126",143.0,555.0,22
20,22,3.370952,109.25,144.0,13,1,1.4167,10.99,G,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,"set([u'Behind the Scenes', u'Commentaries'])",4,"77,95,122,124",106.0,400.0,21
21,23,2.894762,106.2381,72.0,2,1,1.5333,9.99,R,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,"set([u'Trailers', u'Deleted Scenes'])",5,"1,4,22,150,164",127.0,516.0,21
22,24,3.99,135.0,144.0,11,1,3.0167,19.99,R,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,"set([u'Trailers', u'Behind the Scenes'])",5,"38,42,67,157,179",136.0,518.0,14
23,25,5.444545,127.5,72.0,13,1,1.2333,15.99,G,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,set([u'Trailers']),9,"1,4,7,47,91,136,166,167,187",228.0,923.0,22
24,26,2.717273,103.4091,72.0,14,1,1.4333,15.99,G,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,"set([u'Deleted Scenes', u'Commentaries'])",3,"71,128,130",75.0,309.0,22
25,27,1.374615,115.9231,168.0,15,1,2.9833,12.99,NC-17,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,"set([u'Deleted Scenes', u'Behind the Scenes'])",9,"7,55,99,110,140,148,154,170,179",224.0,927.0,13
26,28,5.723333,111.3333,120.0,5,1,1.5167,16.99,PG-13,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,"set([u'Deleted Scenes', u'Behind the Scenes'])",2,"74,162",53.0,200.0,15
27,29,3.79,112.0,120.0,1,1,2.8,11.99,NC-17,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,"set([u'Trailers', u'Deleted Scenes', u'Commentaries'])",7,"6,13,105,122,175,187,197",207.0,767.0,10
28,30,5.212222,132.2222,96.0,11,1,1.3667,27.99,R,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,"set([u'Trailers', u'Deleted Scenes', u'Behind the Scenes'])",3,"9,163,178",69.0,267.0,9
29,31,5.764194,101.9032,120.0,8,1,1.5333,16.99,NC-17,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,"set([u'Deleted Scenes', u'Behind the Scenes', u'Commentaries'])",4,"2,15,49,60",115.0,426.0,31
